symbol,avg_high,avg_low,avg_amplitude,max_high,max_amplitude,std_amplitude,range_high,range_low,num_records
600418,17.50228958210712,16.67418481459682,0.8281047675103002,58.81,5.07,0.7365886633306632,54.410000000000004,51.769999999999996,1699
002625,21.183107710417893,20.356032960565035,0.8270747498528547,57.49,5.6200000000000045,0.7326855475169287,50.24,46.870000000000005,1699
UDR,37.89537336613073,37.06939729924335,0.8259760668873832,51.49840343579066,4.532235794259897,0.4296556503657324,26.568190404725307,27.44831612270484,1507
600521,20.527804590935844,19.702271924661567,0.8255326662742789,45.7,4.6299999999999955,0.6237243098336557,35.230000000000004,33.42,1699
KO,55.277224249618534,54.45581660321157,0.8214076464069573,72.91000366210938,5.630873608323661,0.44480119345561725,40.27445012559895,41.8155976029169,1507
FITB,31.622818928253515,30.80176405361,0.8210548746435131,48.30006804131393,5.054881972948181,0.41634330815178067,38.00323102108615,38.999954612002156,1507
CPRT,39.15233080420339,38.33165894491275,0.8206718592906362,64.37999725341797,4.870002746582031,0.4391155840443019,49.34749698638916,49.507500648498535,1507
600406,25.371306650971164,24.559911712772223,0.8113949381989405,47.87,5.670000000000002,0.5972255817735053,31.269999999999996,27.879999999999995,1699
002603,21.330606238964094,20.5310888758093,0.799517363154797,53.96,6.689999999999998,0.8166384838618511,43.84,39.99,1699
ROL,39.72795953578405,38.933868722516,0.7940908132680444,61.84000015258789,4.7334553818367695,0.4464600104422177,41.2183718623816,42.28490687820991,1507
300433,18.73340200117716,17.94955267804591,0.7838493231312536,41.4,6.159999999999997,0.6356606984076728,35.32,32.940000000000005,1699
002389,19.382937021777515,18.6053619776339,0.7775750441436139,38.76,4.52,0.5373392742883075,28.74,26.88,1699
600699,19.749434961742196,18.972477928193054,0.7769570335491464,39.98,3.9599999999999937,0.5102385320053126,29.4,27.190000000000005,1699
CMCSA,36.08840487228778,35.312247456899236,0.7761574153885479,50.460453217626146,4.449989204937957,0.4356354509525994,25.920585709711315,26.22323437016504,1507
300003,22.977663331371396,22.203537374926427,0.7741259564449676,46.96,4.520000000000003,0.5503932870955848,37.78,35.74,1699
BAC,34.633209410993246,33.86424642169095,0.7689629893022911,56.54999923706055,4.701278366896801,0.3816430501078625,39.46471853946376,40.43870237017763,1507
002544,19.226433195997647,18.46153619776339,0.7648969982342554,35.27,3.9200000000000017,0.4778361670853958,24.770000000000003,23.739999999999995,1699
300059,21.63741024131842,20.872642731018242,0.7647675103001765,40.57,6.390000000000001,0.627812416531506,30.380000000000003,28.93,1699
